step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,584,8,0.12868158507269578,0.0,0.0,0.10977348225915595,0.0,0.0,,,,,,
2,1168,16,0.11067265017047045,0.0,0.0,,,,,,,,,
3,1752,24,0.07694423000320158,0.0,0.0,,,,,,,,,
4,2336,32,0.042350157523049145,0.25,0.25,,,,,,,,,
5,2920,40,0.0282805207366376,0.625,0.625,,,,,,,,,
6,3504,48,0.029613167627980545,0.5,0.5,,,,,,,,,
7,4088,56,0.04488683045257655,0.375,0.375,,,,,,,,,
8,4672,64,0.022545277484459805,0.75,0.75,,,,,,,,,
9,5256,72,0.025841038105540465,0.25,0.25,0.023342084805303278,0.875,0.875,,,,,,
10,5840,80,0.0244362961474528,0.625,0.625,,,,,,,,,
11,6424,88,0.030491517295870123,0.5,0.5,,,,,,,,,
12,7008,96,0.023407529423323768,0.375,0.375,,,,,,,,,
13,7592,104,0.02518592905097951,0.375,0.375,,,,,,,,,
14,8176,112,0.021808676205659544,0.5,0.5,,,,,,,,,
15,8760,120,0.021063888615592278,0.625,0.625,,,,,,,,,
16,9344,128,0.016705687302294086,0.75,0.75,,,,,,,,,
17,9928,136,0.025833799018024968,0.375,0.375,0.020035895199762305,0.375,0.375,,,,,,
18,10512,144,0.019159113515569412,0.625,0.625,,,,,,,,,
19,11096,152,0.0195923493326619,0.625,0.625,,,,,,,,,
20,11680,160,0.018736926331609234,0.625,0.625,,,,,,,,,
21,12264,168,0.026886096415299918,0.25,0.25,,,,,,,,,
22,12848,176,0.017105475065646816,0.875,0.875,,,,,,,,,
23,13432,184,0.018812619736668746,0.625,0.625,,,,,,,,,
24,14016,192,0.01437078714053617,0.875,0.875,,,,,,,,,
25,14600,200,0.024541902220306736,0.375,0.375,0.019558392487805474,0.625,0.625,,,,,,
26,15184,208,0.02136863316024574,0.25,0.25,,,,,,,,,
27,15768,216,0.0160113251901627,0.875,0.875,,,,,,,,,
28,16352,224,0.027237107887258392,0.125,0.125,,,,,,,,,
29,16936,232,0.014760161803661607,0.75,0.75,,,,,,,,,
30,17520,240,0.01677324081192536,0.75,0.75,,,,,,,,,
31,18104,248,0.016767777096164435,0.875,0.875,,,,,,,,,
32,18688,256,0.01719548214844508,0.75,0.75,,,,,,,,,
33,19272,264,0.01725498672730383,0.75,0.75,0.018821093388423835,0.75,0.75,,,,,,
34,19856,272,0.020620888647135873,0.5,0.5,,,,,,,,,
35,20440,280,0.015514537021409628,0.625,0.625,,,,,,,,,
36,21024,288,0.013369312617138952,1.0,1.0,,,,,,,,,
37,21608,296,0.013232882706924,1.0,1.0,,,,,,,,,
38,22192,304,0.013114626016878093,0.875,0.875,,,,,,,,,
39,22776,312,0.011850124335329988,1.0,1.0,,,,,,,,,
40,23360,320,0.015940522572498898,0.75,0.75,,,,,,,,,
41,23944,328,0.011834535909438275,1.0,1.0,0.010991364747746703,1.0,1.0,,,,,,
42,24528,336,0.009431350480080659,1.0,1.0,,,,,,,,,
43,25112,344,0.011187750250860266,0.875,0.875,,,,,,,,,
44,25696,352,0.00908808280700997,1.0,1.0,,,,,,,,,
45,26280,360,0.009155050731937486,1.0,1.0,,,,,,,,,
46,26864,368,0.012111552159087245,0.875,0.875,,,,,,,,,
47,27448,376,0.013971818510042847,0.75,0.75,,,,,,,,,
48,28032,384,0.008495942913981102,1.0,1.0,,,,,,,,,
49,28616,392,0.0073627929381622275,1.0,1.0,0.00717741253650249,1.0,1.0,,,,,,
50,29200,400,0.009972517460815249,0.875,0.875,,,,,,,,,
51,29784,408,0.007325212270382305,1.0,1.0,,,,,,,,,
52,30368,416,0.008398555143518378,1.0,1.0,,,,,,,,,
53,30952,424,0.016793504171114873,0.625,0.625,,,,,,,,,
54,31536,432,0.010290471297216754,0.875,0.875,,,,,,,,,
55,32120,440,0.007966880288642338,1.0,1.0,,,,,,,,,
56,32704,448,0.009099586513262795,1.0,1.0,,,,,,,,,
